Region,Small 5,Small 50,Small 95,Large 5,Large 50,Large 95
Africa and Red Sea,1819,1820,1820,-8167,-7655,-6075
Alaska,1782,1784,1784,1461,1724,1762
Antarctica,1891,1893,1899,-1914,-329,-85
Atlantic Ocean,1986,1988,1990,-2403,-653,-446
Canada and Western USA,1831,1841,1842,779,855,1073
Hawaii and Pacific Ocean,1817,1820,1820,1535,1575,1586
Iceland and Arctic Ocean,1693,1702,1706,-2148,-382,113
Indonesia,1768,1770,1770,1613,1815,1924
"Japan, Taiwan, Marianas",1541,1542,1542,-2148,-382,113
Kamchatka and Mainland Asia,1734,1737,1737,1613,1815,1924
Kuril Islands,1757,1760,1765,1561,1662,1688
Mediterranean and Western Asia,1631,1682,1682,-3128,-2638,-2500
Melanesia and Australia,1850,1855,1856,171,1866,1903
México and Central America,1503,1517,1518,-868,-383,391
Middle East and Indian Ocean,1731,1750,1751,1731,1750,1751
New Zealand to Fiji,1835,1836,1851,692,1589,1708
Philippines and SE Asia,1799,1808,1825,1159,1335,1380
South America,1728,1737,1738,-1488,-1339,-1064
West Indies,1952,1965,1965,1900,1901,1902
